text,label,sentiment
another survivor recounted ramos said gon na die entering classroom opened fire rest student another teacher room according surviving student ramos played sad music massacre shooting occurred inside building within first minute ramos inside classroom hour armed police remained outside classroom building multiple student played dead shooting took place including one student 11 year old miah cerrillo smeared blood one dead classmate give credence subterfuge according student hid adjoining classroom ramos came slightly crouched saying time die opening fire,school district,-0.9531
afterwards responding officer called yell need help girl adjoining classroom said help ramos heard girl entered classroom shot student said officer barged classroom ramos fired officer causing officer return fire arnulfo reyes teacher classroom 111 received multiple gunshot wound recalled instructed student get table act like asleep ramos arrived shot fired indiscriminately around classroom 111,school district,-0.4019
reyes said hear talk later ramos unleashed second round gunfire student reyes said get first time got second time 11 student classroom 111 shooting died reyes pretended unconscious floor ramos shot according reyes heard law enforcement approach classroom sounded like hallway three time enter one occasion heard student adjoining classroom 112 saying officer law enforcement already left reyes said ramos walked shot,school district,-0.2732
united state marshal service deputy drove nearly 70 mile 110 km school arrived 12 10 helped officer initially confront shooter render first aid secure perimeter 12 17 ucisd sent message twitter active shooter elementary school police chief pedro arredondo erroneously determined situation transitioned active shooter barricaded subject according texas department public safety dp ramos thought contained official believed bought enough time bring tactical unit according uvalde county judge bill mitchell teacher eva mireles inside adjoining classroom shooter called husband ruben ruiz uvalde consolidated independent officer outside school according dp director steven mccraw call mireles told ruiz shot dying ruiz tried move forward hallway detained law enforcement took gun away escorted scene,school district,0.8402
mireles eventually died gunshot wound police cordoned outside school parent pleaded officer enter building parent offered enter building officer held back tackled parent tried enter school warning would use tasers parent comply direction video clip uploaded social medium including one depicted parent pinned ground police pepper sprayed parent trying get child officer tackled father another student police reportedly used taser parent approached bus get child,school district,-0.7184
mother two student school placed handcuff officer attempting enter school released handcuff jumped fence retrieved child exiting police entered video clip showed parent questioning police trying save child officer reply deal united state border patrol tactical unit bortac agent rushed scene receiving text message wife teacher prior agent duty,school district,0.6808
agent immediately set shotgun barber lent arrived scene approximately hour first responder arrived proceeded help evacuate child contrary online rumor social medium post enter school kill shooter additional bortac agent arrived battering ram breaching tool marshal scene provided agent ballistic shield,school district,-0.4588
ramos stayed classroom around one hour hiding behind steel door officer said could open obtained master key janitor evidence however door never locked door opened bortac agent entered room holding shield followed two bortac agent border patrol search trauma rescue agent borstar least one sheriff deputy ramos reportedly opened fire group closet room official returned fire killed ucisd police officer exchanged fire ramos bortac agent joined response request assistance one sustained injury,school district,-0.9349
interview texas tribune published june arredondo said arrived school thinking first law enforcement officer scene abandoned police campus radio wanted hand free shoot gunman also thought radio would slow said one radio antenna would hit ran radio prone falling belt ran knew experience radio work school building arredondo said unaware call made classroom gunman radio one told officer school hallway radio communication either texas tribune interview arredondo said consider incident commander law enforcement instead role frontline responder assuming someone else command national incident management system guide level government respond mass emergency event say first person scene incident commander dp official described arredondo incident commander identified giving order treat situation barricaded subject,school district,0.296
arredondo said attempted open classroom 111 door uvalde police department officer tried classroom 112 door locked according arredondo classroom door steel jamb prevented law enforcement easily breaching door arredondo aware gunman firing shot within classroom grazing police officer according arredondo officer school hallway best remain quiet whispering fearing gunman heard would shoot spent hour hallway held back classroom door 40 minute avoid attracting gunfire,school district,0.0258
nineteen student two teacher killed shooting student teachersirma linda garcia 48 eva mireles 44the child third fourth grade teacher taught fourth grade classroom eighteen people injured comprising fourteen child one teacher perpetrator grandmother two police officer abbott said two officer struck bullet serious injury several victim died ambulance way hospital including mireles uvalde memorial hospital ceo reported eleven child three people admitted emergency care following shooting,school district,-0.9595
born may 16 2004 fargo north dakota salvador rolando ramos resident uvalde early age former student uvalde high school also attended robb elementary school fourth grade classroom killed frequently bullied fourth grade classroom due stutter short haircut clothing criminal record documented mental health issue previously posted violent threat online according classmate friend ramos stutter strong lisp often bullied frequently fistfight classmate occasionally boxing glove carried around friend,school district,-0.9565
school official uvalde high school withdrew october 28 2021 school due frequent absence ramos social medium acquaintance said openly abused killed animal cat would livestream abuse yubo social medium acquaintance said would also livestream yubo threatening kidnap rape girl used app well threatening commit school shooting ramos account reported yubo action taken month shooting ramos worked local wendy employed least year according store night manager went way keep,school district,-0.969
one coworkers said occasionally rude female co worker sent inappropriate text message would intimidate co worker job asking know ramos coworkers referred name including school shooter long hair frequently wore black clothing year shooting ramos started posting picture instagram account automatic rifle wish list according friend would often drive around night another friend shooting stranger bb gun egging car according man relationship ramos mother ramos moved mother house grandparent house two month shooting argument broke mother turning wi fi people close ramos family described mother drug user said frequently argued,school district,-0.5584
two month prior shooting posted video instagram aggressively arguing mother referring bitch ramos mother described son monster admitted could aggressive grandfather said grandson driver license know drive according father ramos girlfriend lived san antonio may 14 ramos sent private instagram message reading 10 day,school district,-0.8519
person responded going shoot school something replied stop asking dumb question according texas department public safety september 2021 ramos asked older sister buy gun refused may 17 2022 day 18th birthday legally purchased smith wesson semi automatic rifle local gun store purchased another rifle three day later investigator later found gun hellfire trigger device decrease time required trigger reset increasing possible rate fire,school district,-0.926
federal bureau investigation fbi bureau alcohol tobacco firearm explosive atf assisting local police investigation ramos gun magazine recovered law enforcement analysis two day shooting state official said texas ranger division investigating local police conduct incident may 29 united state department justice announced would review law enforcement response mass shooting request uvalde mayor mclaughlin initially praising first responder governor greg abbott called investigation lack initiative displayed law enforcement may 27 abbott said bottom line would choose strategy would best get eliminate killer rescue child,school district,0.8481
freeman martin deputy director homeland security operation texas dp informed burrow district attorney uvalde county objected release portion video taken hallway police response clip ended immediately officer breached classroom show image child burrow martin uvalde mayor mclaughlin believe releasing footage would helpful public july 12 2022 austin american statesman released 77 minute video composed footage hallway camera officer body worn camera released video edited obscure identity student remove sound child screaming,school district,0.4767
uvalde staff member filed petition information daniel defense june attempting make prima facie case gunmaker marketing weapon staff member outside delivering food school end year party witnessed car crash gone inside grab cellphone call crash propped open door school rock kicked door shut ran inside witnessing shooter hopping fence coming towards school one part misrepresented detail published shooting june parent one deceased victim filed letter seeking document record daniel defense lawyer represented family victim 2012 sandy hook elementary school shooting manufacturer rifle used shooting june attorney thomas henry filed lawsuit behalf four family student injured shooting ramos estate sought answer gained access school,school district,-0.7964
ucisd asked parent pick child robb elementary school student accounted around 00 parent notified pick district campus activity canceled parent student school asked pick child due school bus cancelations night ucisd superintendent hal harrel announced letter sent parent school year concluded entire district similarly done covid 19 pandemic texas including cancelation planned graduation ceremony school year previously scheduled end two day later thursday,school district,0.0
shortly shooting memorial created outside school victim survivor balloon candle cross local man made 21 cross inscribed victim name placed outside school additional memorial erected deceased victim throughout uvalde local drove city honor victim memorial tribute held throughout country free headstone funeral service offered family victim local state business,school district,-0.0
state locally based food truck restaurant owner also traveled uvalde offer food supply family affected shooting san antonio zoo announced would light parking garage red robb elementary school color 21 day honor 21 victim joe garcia husband irma garcia one teacher killed shooting died two day shooting heart attack attending memorial family said heart attack tied grief losing wife ucisd created fund first state bank money raised going family victim survivor donation accepted person check may 27 announced anonymous donor donated 175 000 go towards funeral victim,school district,-0.9623
chief pedro pete arredondo disputed incident commander law enforcement responding shooting 12 46 arredondo seemed give approval officer enter room time reported ready said according transcript delivered two brief press statement day shooting may 24 without answering question offered public comment june arredondo elected uvalde city council may shooting occurred may 30 mayor mclaughlin said special city council meeting arredondo would sworn city council member take place scheduled focus tuesday family lost loved one,school district,0.8176
mclaughlin commented nothing city charter election code texas constitution prohibits arredondo taking oath office aware investigation arredondo may 31 mclaughlin revealed arredondo personally visited city hall day sworn city council member stating lack ceremony done respect family whose child killed shooting arredondo attend city council meeting june mayor mclaughlin questioned arredondo absence mclaughlin said answer journalist visited ucisd headquarters arredondo law enforcement ordered leave cnn journalist given initial warning told uvalde police way would charge journalist criminal trespassing continued remain headquarters,school district,-0.8779
almost 400 law enforcement officer including 150 border patrol agent 91 state police officer came uvalde shooting tactical unit arrived police officer inside school numbered least 19 made effort breach room ramos located according texas department public safety dp according dp decision wait tactical unit arrive based false belief ramos isolated classroom could harm decision made incident commander identified pedro arredondo ucisd chief police police arrested handcuffed one mother drove school hearing shooting prevented trying save child,school district,-0.4215
body camera footage also show one officer ruben ruiz held back officer prevented rescuing wife robb elementary teacher inside one classroom dying gunshot wound may 26 press conference asked whether first responder erred waiting reinforcement dp official victor escalon said enough information answer question yet medium interview day dp spokesman chris olivarez said law enforcement proceeded knowing suspect could shot could killed gunman would opportunity kill people inside school uvalde police chief daniel rodriguez defended officer may 26 statement saying important community know officer responded within minute former austin houston police chief art acevedo tweeted particular right gunfire ringing police trained expected required engage engage engage moral ethical obligation,school district,0.2023
may 27 dp acknowledged several law enforcement error potentially led greater bloodshed news conference steven mccraw dp director said benefit hindsight sitting course right decision wrong decision period june texas state senator roland gutierrez said heard commission state emergency communication arredondo know call made child trapped classroom ramos gutierrez said uvalde police department receiving call 45 minute 19 officer sitting hallway know communicated people,school district,-0.743
june gutierrez said heard dp arredondo radio shooting june new york time determined investigative review police officer aware injured individual trapped inside classroom decided breach entrance june 18 san antonio express news citing law enforcement source close investigation shooting reported surveillance video showed law enforcement physically try open door classroom ramos 77 minute law enforcement eventual entry surveillance video showed ramos firing inside classroom 111 112 briefly returning hallway going back classroom said source ramos shot closed door prompting law enforcement retreat san antonio express news reported law enforcement might assumed door locked source relayed investigator belief ramos could locked classroom door inside investigator still determining whether classroom door unlocked along may caused lock malfunction source also said law enforcement entire time possessed halligan tool could breached locked classroom door,school district,-0.6486
source added pete arredondo tried various key classroom door classroom 111 112 ramos classroom nearby attempt identify master key june 21 steve mccraw texas department public safety director testified texas senate committee meeting uvalde school shooting police response abject failure antithetical everything learned past two decade police could stopped shooter three minute statement strongest condemnation texas state law enforcement police response uvalde thus far particular mccraw singled uvalde police chief pete arredondo identified scene commander incident mccraw said thing stopping hallway dedicated officer entering room 111 112 scene commander decided place life officer life child july 17 texas house investigative committee released 77 page report systemic failure egregiously poor decision making exacerbated shooting criticized state federal official agency addition local police,school district,-0.8689
official including texas governor greg abbott texas dp director steve mccraw gave inaccurate incomplete initial account shooting many way new information authority directly contradicted previous account official may 26 representative joaquin castro texas said state official provided conflicting account contradicted witness called fbi investigate provide full account incident may 24 abbott said ramos used handgun possibly rifle shooting claim ramos used handgun inaccurate may 25 abbott said one rifle used shooting,school district,-0.7184
meanwhile dp official erick estrada said may 24 ramos body armor later contradicted dp official christopher olivarez said ramos wearing tactical vest typically carry magazine ballistic panel may 25 two dp official olivarez travis considine separately said school police officer confronted ramos outside school two exchanged gunfire wounding school police officer ramos entered school later may 25 mccraw said school police officer engaged ramos without firing shot may 26 dp official victor escalon said confrontation ramos school police officer ramos walked school unobstructed readily available armed officer present may 27 mccraw said school police officer school incident started drove incident drove right ramos mistakenly confronted teacher may 25 mccraw without giving specific timeline said law enforcement engaged immediately contained gunman classroom put tactical stack together orderly way breached,school district,-0.4588
mccraw also said day law enforcement engaged active shooter continued keep pinned location tactical team assembled breach room kill ramos may 26 escalon said law enforcement delayed assault ramos required specialty equipment body armor precision rifleman negotiator escalon introduced claim negotiation saying ramos respond much gunfire negotiation trying keep officer bay may 26 mccraw claimed ramos entered school door propped open teacher may 31 lawyer teacher said teacher fact closed door seeing ramos pulled held door closed telling shooting teacher thought door would lock door always supposed locked later may 31 considine acknowledged teacher indeed closed door ramos entered door lock,school district,-0.7184
june nine day mass shooting private meeting uvalde city hall gathering arranged governor greg abbott office due rising tension uvalde official abbott general counsel chief staff luis saenz attendance mediator various uvalde civic leader also present including mayor mclaughlin county judge bill mitchell local district attorney christina mitchell busbee county attorney john dodson local police official uvalde assistant city manager joe cardenas uvalde city attorney paul tarski meeting one page document titled narrative given steven mccraw state top police official presented city attorney paul tarski,school district,-0.128
uvalde city official pressured mccraw publicly endorse storyline hold press conference asked change depiction event version favorable liking one quick arrival officer school would promoted highlighting success containing gunman narrative document made available new york time following public information request city claimed zero hesitation officer part moved directly toward gunfire total number person saved hero local law enforcement assisting agency 500 document defended delayed police response prior final confrontation gunman stating time wasted minute used save life child teacher absent shield every officer opinion breaching door suicide however according new york time footage scene raise question city account,school district,0.8625
reyes teacher classroom 111 lost 11 student shot arm lung back labeled law enforcement coward response shooting saying sit nothing community took long time go also said everything get angry law enforcement bulletproof vest nothing commented training get ready trained kid sit table set like duck give training want gun law change,school district,-0.6908
go anywhere end world let student die vain go end world make sure thing get changed survivor family member survivor victim spoke congressional panel united state house committee oversight reform two week shooting testimony done prior house debating bill june would raise minimum age 21 purchase certain firearm toughen prohibition untraceable gun multiple survivor shooting expressed fear returning school spoken medium outlet recount experience angeli gomez handcuffed police ran school rescue child later interviewed cbs news,school district,0.4019
president joe biden ordered flag federal building flown half staff speech may 24 biden highlighted country mental health problem domestic dispute people lost kind mass shooting never happen kind frequency happen america willing live carnage biden said sick tired mass shooting declaring act calling common sense gun law biden also spoke texas governor greg abbott offer assistance according biden communication director may 25 abbott held press conference described shooting evil intolerable unacceptable,school district,-0.9423
abbott continued saying shooting could worse action law enforcement described provided quick response showed amazing courage running toward gunfire proceeded blame shooting problem mental health illness local community saying speech ramos known criminal mental health history press conference beto rourke democratic nominee 2022 texas gubernatorial election confronted abbott telling said predictable totally predictable choose anything mclaughlin republican mayor uvalde since 2014 told rourke leave press conference calling sick son bitch making political issue rourke escorted auditorium rourke later criticized abbott reducing mental health service state expanding gun access 18 year old shooting condemned former president bill clinton barack obama donald trump,school district,-0.969
senator susan collins described shooting unbelievably tragic horrible crime expressed support red flag law help restrict potentially violent individual accessing firearm senator ted cruz tx called shooting yet another act evil mass murder offered prayer family child affected shooting said country seen many shooting senator ron johnson wi reacted blaming school shooting wokeness crt liberal indoctrination texas attorney general ken paxton said message grieving family uvalde believe god always plan,school district,-0.9789
life short matter certainly going make sense killing child partly based rumor started anonymous user pol imageboard 4chan representative paul gosar az made unsubstantiated claim twitter day shooting perpetrator transsexual leftist illegal alien tweet taken within two hour false claim spread representative marjorie taylor greene ga far right house republican conservative medium figure social medium user despite authority identifying ramos american citizen internationally shooting condemned various government politician including government mexico said working american authority identify mexican victim mexican consul ismail naveja responded going uvalde day shooting mexico said providing consular assistance mexican national president andr manuel pez obrador commented hispanic origin majority victim noting look surname child grandchild mexican hurt lot,school district,-0.962
british prime minister boris johnson leader opposition keir starmer paid tribute victim house common united kingdom shooting denounced among others australian prime minister anthony albanese canadian prime minister justin trudeau chinese diplomat wang wenbin european union ambassador united state stavros lambrinidis french president emmanuel macron german chancellor olaf scholz israeli prime minister naftali bennett new zealand prime minister jacinda ardern ukrainian president volodymyr zelenskyy united nation secretary general ant nio guterres pope francis human right group amnesty international said among wealthier developed country outlier come firearm violence government allowed gun violence become human right crisis rard araud former french ambassador united state obama trump administration said craziness without prospect improvement actor matthew mcconaughey born uvalde also expressed sympathy towards victim family,school district,-0.8388
graphic content warning hallway footage obtained uvalde school shooting kvue youtube robb elementary school website bleiberg jake murphy sean may 28 2022 timeline texas elementary school shooting minute minute archived original may 29 2022 retrieved may 30 2022 justice department statement mass shooting robb elementary school uvalde tx,school district,0.7003
united state department justice archived original may 29 2022 retrieved may 30 2022 learning network may 25 2022 resource talking teaching school shooting uvalde texas,school district,0.8176
archived original may 26 2022 retrieved may 26 2022 robb elementary school attack response assessment recommendation advanced law enforcement rapid response training center texas state university retrieved july 2022,school district,0.0516
difficult trace origin uniform comprehensive written history rather variety known influence school uniform believed practice date 16th century united kingdom believed christ hospital school england 1552 first school use school uniform student given uniform notably consisted long blue coat yellow knee high sock almost identical uniform still worn student attending school today,school district,0.0258
united state movement toward using uniform state school began bill clinton addressed 1996 state union saying mean teenager stop killing designer jacket public school able require student wear uniform 1998 approximately 25 public elementary middle junior high school adopted uniform policy considering policy two third implemented 1995 1997 new york city new school chancellor rudy crew made clear would follow clinton idea abundance theory empirical study looking school uniform making statement effectiveness theory study elaborate benefit also shortcoming uniform policy issue nature nurture come play uniform affect perception masculinity femininity simplify issue gender classification work channel subdue punish sexuality female male transgender intersex,school district,0.296
case study long beach unified study first large urban school united state implement uniform policy 1994 mandatory school uniform implemented district elementary middle school strategy address student behaviour issue district simultaneously implemented longitudinal study research effect uniform student behavior study attributed favourable student behavioral change significant drop school discipline issue mandatory uniform policy wearing school uniform associated fewer absence truancy fewer referral office behavior problem,school district,0.4588
uniform become normalised also increasing number lawsuit brought according david brunsma one four public elementary school one eight public middle high school united state policy dictating student wear school school code within state constitution typically asserts allows board school director make reasonable rule regulation see fit managing school affair 2008 currently 23 state allow mandate school uniform constitutional objection usually brought upon tend fall one following two category violation student first amendment right free expression violation parent right raise child without government interference,school district,0.3612
although point supreme court ruled case involving school uniform directly 1968 decision tinker de moines independent community court ruled upon entering school student shed constitutional right freedom speech internationally differing view school uniform australian state queensland ombudsman fred albietz ruled 1998 state school may require uniform philippine department education abolished requirement school uniform public school england wale technically state school may permanently exclude student breaching school uniform policy policy promulgated department child school family student wearing correct uniform asked go home change scotland local council responsibility delivering state education insist student wearing uniform precondition attending taking part curricular activity,school district,0.7845
although population 15 191 2000 census estimated would 22 161 2005 special census 2003 counted 25 191 people 13 599 household 12 137 family residing city population density 144 inhabitant per square mile 827 km2 835 housing unit average density 823 per square mile 318 km2 racial makeup city 95 82 white 11 african american 22 native american 75 asian 01 pacific islander 94 race 15 two race hispanic latino people race 34 population,school district,0.4019
599 household 38 child age 18 living 60 married couple living together female householder husband present 26 non family 20 household made individual someone living alone 65 year age older average household size 71 average family size 17 city population spread 28 age 18 18 24 36 25 44 18 45 64 10 65 year age older median age 33 year,school district,-0.25
every 100 female 96 male every 100 female age 18 94 male median income household city 72 231 median income family 81 717 male median income 65 759 versus 42 551 female per caput income city 32 939,school district,0.0
downtown lockport contains four museum within walking distance one another well historic place gaylord building gaylord building historic site national trust historic preservation constructed 1838 local limestone use warehouse situated east side illinois michigan canal north downtown lockport renovated 1980s building house restaurant historical gallery illinois michigan canal museumlocated original 1837 canal headquarters building illinois michigan canal museum offer 10 room filled artifact picture document relating construction operation canal well period item specific region height canal operation,school district,0.8316
lockport gallerythe lockport gallery celebrates illinois changing exhibit featuring painting drawing sculpture quilt medium created state artist artisan rotating theme based exhibit supplemented showcased educational event group tour outreach program age illinois state museum ism facility lockport gallery located structure work art history historic norton building constructed bank illinois michigan canal 1850 serve grain processing facility today building multi use facility housing residential loft office commercial space lockport gallery,school district,0.7783
gallery space gracefully incorporates building original feature including large window arched portal used loading unloading high ceiling hardwood floor gladys fox museummaintained lockport township park district gladys fox museum located 1839 old congregational church beautifully restored historic building home museum collection historical photograph memorabilia celebrating dellwood park illinois michigan canal lincoln landingnewly constructed south gaylord building directly adjacent canal give something back foundation lincoln landing unique open air park museum park show original canal line statue lincoln contemplating canal,school district,0.9501
county 92 public grade serf grade mainly serf community lockport homer glen contains four building walsh reed ludwig oak prairie administration building adjacent ludwig walsh schoolwalsh school elementary school educating student prek grade one reed schoolreed school elementary school educating student grade two three,school district,0.0
three grade cover part lockport eastern part lockport homer community consolidated 33c northern part lockport county 92 southern part lockport served fairmont 89 city lockport township high 205 operates lockport township high school central east campus city,school district,0.0
prior european contact indigenous patwin tribe lived area ululato tribelet establishing chiefdom around ululato village downtown vacaville along ulatis creek early settler pioneer land juan manuel cabeza vaca juan felipe pe awarded 44 000 acre 18 000 ha mexican land grant 1842 year 1842 vaca pe family settled area lagoon valley pe adobe home oldest standing building built 1842 discussion sale portion land william mcdaniel began august 1850 written agreement signed december 13 1851 forming township nine square mile land deeded william mcdaniel 000 original city plan laid agreement mcdaniel would name new town juan manuel cabeza vaca,school district,0.936
1880 leonard buck created california fruit shipping association well buck company early company selling auctioned fruit state vacaville soon home many large produce company local farm flourished due vaca valley rich soil officially became city 1892 1885 first grade school built ulatis school 1898 town first high school built vacaville union high school 1968 vacaville heritage council established august 2020 part vacaville evacuated due hennessey fire resulted burning 315 000 acre 127 476 ha five county including vacaville farm home destroyed august 29 2022 truck transporting tomato crashed interstate 80 vacaville injuring four splattering 150 000 tomato onto eastbound section freeway significantly delaying eastbound traffic hour,school district,0.5719
number rare endangered specie vacaville area endangered plant historically occurred vernal pool area around vacaville include legenre limosa plagiobothrys hystriculus downingia humilis contra costa goldfield lasthenia conjugens showy indian clover trifolium amoenum day trifolium amoenum still found lagoon valley regional park according united state census bureau city total area 28 square mile 74 km2 99 26 area land 74 water,school district,0.4767
vacaville typical mediterranean climate ppen csa hot dry summer cool wet winter characteristic inland california summer get quite hot autumn warm early part quickly cool wet season approach winter cool often foggy mild compared region spring rather pleasant season fairly mild temperature much rain,school district,0.885
greater majority precipitation fall autumn winter spring month little none summer according national weather service record average january temperature vacaville maximum 55 13 minimum 36 average july temperature maximum 95 35 minimum 56 13 average 87 day high 90 32 higher average 30 day low 32 lower,school district,-0.2023
record high temperature 116 47 july 23 2006 record low temperature 14 10 december 26 1924 average annual precipitation 24 55 inch 624 mm average 57 day measurable precipitation wettest year 1983 48 90 inch 242 mm driest year 2012 inch,school district,-0.2732
2010 united state census reported vacaville population 92 428 population density 233 inhabitant per square mile 248 km2 racial makeup vacaville 61 301 66 white 510 10 african american 846 native american 606 asian filipino chinese indian japanese vietnamese korean 532 pacific islander 136 race 497 two race hispanic latino race 21 121 person 22 17 vacaville mexican puerto rican salvadoran nicaraguan guatemalan peruvian census reported 91 population lived household institutionalized,school district,0.4215
31 092 household 11 747 37 child age 18 living 16 347 52 opposite sex married couple living together 068 13 female householder husband present 686 male householder wife present 892 unmarried opposite sex partnership 208 sex married couple partnership 053 household 22 made individual 689 someone living alone 65 year age older average household size 71 22 101 family 71 household average family size 19,school district,-0.25
population spread 21 511 people 23 age 18 963 people aged 18 24 26 269 people 28 aged 25 44 26 016 people 28 aged 45 64 669 people 10 65 year age older median age 37 year every 100 female 112 male every 100 female age 18 115 male 32 814 housing unit average density 148 per square mile 443 km2 63 owner occupied 36 occupied renter,school district,0.0
2000 census 88 625 people living city population density 263 km2 272 mi2 28 696 housing unit average density 409 km2 059 mi2 racial makeup city 72 11 white 10 02 african american 97 native american 18 asian 45 pacific islander 74 race 53 two race 17 88 population hispanic latino race,school district,0.0
28 105 household 20 966 family 41 child age 18 living 57 married couple living together 12 female householder husband present 25 non family 19 household made individual someone living alone 65 year age older average household size 83 average family size 24 median age 34 year age distribution population rather spread 27 age 18 18 24 35 25 44 20 45 64 65 year age older however sex ratio higher national average,school district,-0.25
